指标名称,中债国债到期收益率:1年,定期存款利率:1年(整存整取)
2002-01-04,2.5850 ,
2002-01-07,2.6009 ,
2002-01-08,1.9156 ,
2002-01-09,1.9040 ,
2002-01-10,1.8987 ,
2002-01-11,1.8757 ,
2002-01-14,1.6794 ,
2002-01-15,1.7265 ,
2002-01-16,1.7403 ,
2002-01-17,1.7165 ,
2002-01-18,2.3130 ,
2002-01-21,2.3057 ,
2002-01-22,2.3195 ,
2002-01-23,2.4151 ,
2002-01-24,2.2820 ,
2002-01-25,2.4084 ,
2002-01-28,2.3583 ,
2002-01-29,1.8731 ,
2002-01-30,2.3022 ,
2002-01-31,2.3164 ,
2002-02-01,2.2378 ,
2002-02-04,2.2322 ,
2002-02-05,2.1994 ,
2002-02-06,2.2673 ,
2002-02-07,2.1876 ,
2002-02-08,2.1877 ,
2002-02-09,2.2009 ,
2002-02-10,2.2233 ,
2002-02-11,2.2539 ,
2002-02-19,2.2399 ,
2002-02-20,2.1405 ,
2002-02-21,2.2222 ,1.98 
2002-02-22,2.2165 ,
2002-02-25,2.0962 ,
2002-02-26,2.0677 ,
2002-02-27,2.0638 ,
2002-02-28,2.0560 ,
2002-03-01,2.0791 ,
2002-03-04,2.1438 ,
2002-03-05,2.0757 ,
2002-03-06,1.9399 ,
2002-03-07,1.9249 ,
2002-03-08,1.8961 ,
2002-03-11,1.9272 ,
2002-03-12,1.9121 ,
2002-03-13,1.9312 ,
2002-03-14,1.9146 ,
2002-03-15,1.9500 ,
2002-03-18,2.0959 ,
2002-03-19,2.1169 ,
2002-03-20,2.1299 ,
2002-03-21,1.9244 ,
2002-03-22,1.9113 ,
2002-03-25,1.8447 ,
2002-03-26,1.8839 ,
2002-03-27,1.7698 ,
2002-03-28,1.8610 ,
2002-03-29,1.8750 ,
2002-04-01,1.9080 ,
2002-04-02,1.9516 ,
2002-04-03,1.9254 ,
2002-04-04,1.8484 ,
2002-04-05,1.7734 ,
2002-04-08,1.8599 ,
2002-04-09,1.8409 ,
2002-04-10,1.8942 ,
2002-04-11,1.8843 ,
2002-04-12,1.9654 ,
2002-04-15,1.9224 ,
2002-04-16,1.9474 ,
2002-04-17,1.8927 ,
2002-04-18,1.9182 ,
2002-04-19,2.0070 ,
2002-04-22,1.8999 ,
2002-04-23,1.9133 ,
2002-04-24,1.8967 ,
2002-04-25,1.8510 ,
2002-04-26,4.5045 ,
2002-04-27,1.8908 ,
2002-04-28,1.2306 ,
2002-04-29,1.8497 ,
2002-04-30,1.9305 ,
2002-05-08,1.8998 ,
2002-05-09,1.8600 ,
2002-05-10,1.9658 ,
2002-05-13,1.8602 ,
2002-05-14,1.8893 ,
2002-05-15,1.8644 ,
2002-05-16,1.8791 ,
2002-05-17,1.9003 ,
2002-05-20,1.8436 ,
2002-05-21,1.8761 ,
2002-05-22,1.8961 ,
2002-05-23,1.9587 ,
2002-05-24,1.9377 ,
2002-05-27,1.8459 ,
2002-05-28,1.8436 ,
2002-05-29,1.8478 ,
2002-05-30,1.8465 ,
2002-05-31,1.8519 ,
2002-06-03,1.8676 ,
2002-06-04,1.6270 ,
2002-06-05,1.6091 ,
2002-06-06,1.8219 ,
2002-06-07,1.7202 ,
2002-06-10,1.8630 ,
2002-06-11,1.8562 ,
