指标名称,中债国债到期收益率:1年,中债国债到期收益率:3年,中债国债到期收益率:10年
2002-01-04,2.5850 ,2.7271 ,3.2096 
2002-01-07,2.6009 ,2.7380 ,3.2003 
2002-01-08,1.9156 ,2.3842 ,3.5225 
2002-01-09,1.9040 ,2.4036 ,3.5896 
2002-01-10,1.8987 ,2.3954 ,3.5784 
2002-01-11,1.8757 ,2.3289 ,3.4532 
2002-01-14,1.6794 ,2.2147 ,3.5114 
2002-01-15,1.7265 ,2.2435 ,3.5023 
2002-01-16,1.7403 ,2.2312 ,3.4414 
2002-01-17,1.7165 ,2.2192 ,3.4511 
2002-01-18,2.3130 ,2.5686 ,3.2968 
2002-01-21,2.3057 ,2.5478 ,3.2563 
2002-01-22,2.3195 ,2.5810 ,3.3182 
2002-01-23,2.4151 ,2.6007 ,3.1897 
2002-01-24,2.2820 ,2.5317 ,3.2581 
2002-01-25,2.4084 ,2.5565 ,3.0795 
2002-01-28,2.3583 ,2.5490 ,3.1584 
2002-01-29,1.8731 ,2.4498 ,3.8100 
2002-01-30,2.3022 ,2.5299 ,3.2152 
2002-01-31,2.3164 ,2.5414 ,3.2186 
2002-02-01,2.2378 ,2.4791 ,3.2016 
2002-02-04,2.2322 ,2.4858 ,3.2180 
2002-02-05,2.1994 ,2.4485 ,3.1893 
2002-02-06,2.2673 ,2.4957 ,3.1897 
2002-02-07,2.1876 ,2.4736 ,3.2491 
2002-02-08,2.1877 ,2.4573 ,3.2085 
2002-02-09,2.2009 ,2.4608 ,3.1948 
2002-02-10,2.2233 ,2.4819 ,3.2084 
2002-02-11,2.2539 ,2.5067 ,3.2173 
2002-02-19,2.2399 ,2.4778 ,3.1679 
2002-02-20,2.1405 ,2.4083 ,3.1647 
2002-02-21,2.2222 ,2.4624 ,3.1583 
2002-02-22,2.2165 ,2.4858 ,3.2237 
2002-02-25,2.0962 ,2.3773 ,3.1616 
2002-02-26,2.0677 ,2.3530 ,3.1512 
2002-02-27,2.0638 ,2.3497 ,3.1481 
2002-02-28,2.0560 ,2.3386 ,3.1315 
2002-03-01,2.0791 ,2.3487 ,3.1155 
2002-03-04,2.1438 ,2.3816 ,3.0828 
2002-03-05,2.0757 ,2.3356 ,3.0850 
2002-03-06,1.9399 ,2.2423 ,3.0864 
2002-03-07,1.9249 ,2.2310 ,3.0840 
2002-03-08,1.8961 ,2.2132 ,3.0656 
2002-03-11,1.9272 ,2.2419 ,3.0730 
2002-03-12,1.9121 ,2.2044 ,3.0044 
2002-03-13,1.9312 ,2.2120 ,2.9872 
2002-03-14,1.9146 ,2.1979 ,2.9798 
2002-03-15,1.9500 ,2.2387 ,3.0188 
2002-03-18,2.0959 ,2.3386 ,3.0232 
2002-03-19,2.1169 ,2.3240 ,2.9442 
2002-03-20,2.1299 ,2.3588 ,3.0009 
2002-03-21,1.9244 ,2.1973 ,2.9508 
2002-03-22,1.9113 ,2.1897 ,2.9468 
2002-03-25,1.8447 ,2.1333 ,2.9166 
2002-03-26,1.8839 ,2.1562 ,2.9052 
2002-03-27,1.7698 ,2.1392 ,3.0714 
2002-03-28,1.8610 ,2.1922 ,3.0536 
2002-03-29,1.8750 ,2.1408 ,2.8551 
2002-04-01,1.9080 ,2.1198 ,2.7433 
2002-04-02,1.9516 ,2.0934 ,2.7048 
2002-04-03,1.9254 ,2.2041 ,2.9179 
2002-04-04,1.8484 ,2.0849 ,2.7323 
2002-04-05,1.7734 ,2.2232 ,3.2699 
2002-04-08,1.8599 ,2.0949 ,2.7346 
2002-04-09,1.8409 ,2.1071 ,2.7982 
2002-04-10,1.8942 ,2.1120 ,2.7158 
2002-04-11,1.8843 ,2.0862 ,2.6737 
2002-04-12,1.9654 ,2.1444 ,2.6736 
2002-04-15,1.9224 ,2.1013 ,2.6374 
2002-04-16,1.9474 ,2.0933 ,2.5653 
2002-04-17,1.8927 ,2.0619 ,2.6181 
2002-04-18,1.9182 ,2.0447 ,2.5275 
2002-04-19,2.0070 ,2.1419 ,2.5800 
2002-04-22,1.8999 ,2.0707 ,2.5865 
2002-04-23,1.9133 ,2.0527 ,2.5637 
2002-04-24,1.8967 ,2.0821 ,2.6050 
2002-04-25,1.8510 ,2.0284 ,2.5478 
2002-04-26,4.5045 ,3.6008 ,1.9775 
2002-04-27,1.8908 ,2.0917 ,2.6304 
2002-04-28,1.2306 ,1.9452 ,3.5186 
2002-04-29,1.8497 ,2.0265 ,2.5363 
2002-04-30,1.9305 ,2.0682 ,2.5022 
2002-05-08,1.8998 ,2.0610 ,2.5363 
2002-05-09,1.8600 ,2.0255 ,2.5192 
2002-05-10,1.9658 ,2.0251 ,2.4972 
2002-05-13,1.8602 ,2.0232 ,2.5072 
2002-05-14,1.8893 ,2.0587 ,2.5447 
2002-05-15,1.8644 ,2.0258 ,2.5035 
2002-05-16,1.8791 ,2.0282 ,2.4959 
2002-05-17,1.9003 ,2.0678 ,2.5423 
2002-05-20,1.8436 ,2.0055 ,2.4837 
2002-05-21,1.8761 ,2.0172 ,2.4961 
2002-05-22,1.8961 ,2.0651 ,2.5476 
2002-05-23,1.9587 ,2.1185 ,2.5547 
2002-05-24,1.9377 ,2.0813 ,2.4983 
2002-05-27,1.8459 ,2.0049 ,2.4462 
2002-05-28,1.8436 ,1.9942 ,2.4178 
2002-05-29,1.8478 ,1.9992 ,2.4199 
2002-05-30,1.8465 ,1.9864 ,2.3924 
2002-05-31,1.8519 ,1.9866 ,2.3810 
2002-06-03,1.8676 ,1.9793 ,2.3353 
2002-06-04,1.6270 ,1.9331 ,2.7385 
2002-06-05,1.6091 ,1.9426 ,2.8028 
2002-06-06,1.8219 ,1.9690 ,2.4016 
2002-06-07,1.7202 ,1.9746 ,2.6786 
2002-06-10,1.8630 ,2.0098 ,2.4376 
2002-06-11,1.8562 ,2.0179 ,2.4831 
2002-06-12,1.8689 ,2.0128 ,2.4339 
2002-06-13,1.8577 ,2.0044 ,2.4341 
2002-06-14,1.8205 ,1.9841 ,2.4564 
2002-06-17,1.8285 ,1.9867 ,2.4467 
2002-06-18,1.8880 ,2.0083 ,2.3741 
2002-06-19,1.8136 ,1.9875 ,2.4818 
2002-06-20,1.8243 ,1.9851 ,2.4517 
2002-06-21,1.8135 ,1.9801 ,2.4606 
2002-06-24,1.8172 ,1.9933 ,2.4936 
2002-06-25,1.6494 ,1.9321 ,2.7081 
2002-06-26,1.7942 ,2.0355 ,2.6982 
2002-06-27,1.8332 ,2.0331 ,2.5912 
2002-06-28,1.7864 ,1.9944 ,2.5798 
2002-07-01,1.8231 ,2.0208 ,2.5719 
2002-07-02,1.8344 ,2.0154 ,2.5258 
2002-07-03,1.8128 ,2.0284 ,2.6252 
