日期,收盘价,涨跌,涨跌幅,成交量(手),成交金额(万),纯债YTM,涨跌BP,转股价值,纯债价值,转股溢价率,纯债溢价率,平底溢价率
2017-02-20,112.5,-0.1,-0.000888099,4391,494.4315,-1.2792,2.74,80.303003,96.7976,0.400944,0.162219,-0.170402954
2017-02-17,112.6,-0.21,-0.001861537,7046,794.8019,-1.3066,6.39,79.752039,96.627,0.411877,0.165306,-0.174640225
2017-02-16,112.81,-0.25,-0.002211215,6555,740.1899,-1.3705,7.59,80.027521,96.58,0.40964,0.168047,-0.171386198
2017-02-15,113.06,-0.35,-0.003086148,3002,340.3308,-1.4464,10.62,79.88978,96.5201,0.415199,0.171362,-0.172299034
2017-02-14,113.41,-0.04,-0.000352578,1538,174.4855,-1.5526,1.08,80.716226,96.5049,0.405046,0.175173,-0.163604895
2017-02-13,113.45,0.24,0.002119954,2009,227.8896,-1.5634,-7.79,80.853967,96.5257,0.403146,0.175335,-0.162358139
2017-02-10,113.21,0.31,0.002745793,7354,832.8349,-1.4855,-9.65,80.440744,96.3364,0.407372,0.175153,-0.165001557
2017-02-09,112.9,0.3,0.002664298,3120,352.1611,-1.389,-9.36,80.303003,96.3807,0.405925,0.171396,-0.166814487
2017-02-08,112.6,0.07,0.000622056,7219,812.7979,-1.2954,-2.28,80.027521,96.5105,0.407016,0.166712,-0.170789489
2017-02-07,112.53,-0.14,-0.001242567,4562,513.971,-1.2726,4.18,79.88978,96.6997,0.408565,0.163706,-0.17383632
2017-02-06,112.67,-0.08,-0.000709534,4372,492.3212,-1.3144,2.08,79.614298,96.8,0.415198,0.163946,-0.177538244
2017-02-03,112.75,-0.55,-0.004854369,2836,320.2893,-1.3352,15.64,79.476557,96.908,0.418657,0.163475,-0.179876202
2017-01-26,113.3,0.54,0.004788932,874,98.9244,-1.4916,-16.47,79.476557,96.8478,0.425577,0.169877,-0.179366418
2017-01-25,112.76,-0.1,-0.000886054,599,67.5518,-1.3269,2.9,79.338816,96.9688,0.421247,0.162848,-0.181810892
2017-01-24,112.86,-0.14,-0.001238938,1008,113.6964,-1.3559,4.11,79.201075,96.941,0.42498,0.164213,-0.182997132
2017-01-23,113,-0.06,-0.000530692,7788,879.1886,-1.397,1.41,79.063334,96.8518,0.429235,0.166731,-0.18366686
2017-01-20,113.06,0.29,0.002571606,6233,702.7505,-1.4111,-8.87,78.787852,96.9039,0.434992,0.166723,-0.186948595
2017-01-19,112.77,0.16,0.001420833,5422,611.3896,-1.3224,-4.95,78.374629,96.9784,0.438859,0.162836,-0.191834171
2017-01-18,112.61,-0.34,-0.003010181,8683,979.6483,-1.2729,10.12,78.374629,97.2208,0.436818,0.158291,-0.193849166
2017-01-17,112.95,0.04,0.000354264,2382,268.9126,-1.3741,-1.33,78.787852,97.3806,0.433596,0.159882,-0.190928665
2017-01-16,112.91,-1.96,-0.017062767,7378,835.0887,-1.3608,57.66,78.236888,97.4304,0.443181,0.158879,-0.196997159
2017-01-13,114.87,0.04,0.000348341,606,69.6007,-1.9374,-1.35,80.027521,97.3599,0.435382,0.179849,-0.178023796
