date,open,high,low,close,value,volumn
1999-06-11,19.8,20,18.5,18.57,854.37,44665300
1999-06-14,18.2,18.93,17.61,18.09,202.24,11162100
1999-06-15,18.19,19.5,17.9,18.18,166.29,8914800
1999-06-16,18.5,20,18.3,20,219.11,11116700
1999-06-17,21.98,22,21.33,22,461.32,21046100
1999-06-18,22.18,22.59,21.38,21.6,255.15,11676600
1999-06-21,21.66,21.89,20.9,21.44,107.45,5055100
1999-06-22,21.46,22.08,21,21.75,82.72,3849400
1999-06-23,22.8,22.8,21.2,21.79,123.77,5655200
1999-06-24,21.8,23.7,21.56,22.99,201.9,8946600
1999-06-25,23,24.59,21.58,21.81,227.03,9625400
1999-06-28,22.1,23.9,22.1,23.48,153.95,6679400
1999-06-29,24.1,24.33,22.81,23.15,169.87,7243000
1999-06-30,23.5,23.8,21.6,21.8,105.28,4679500
1999-07-01,21.8,21.88,19.62,19.68,76.63,3787200
1999-07-02,20.01,21.3,19.58,21.28,63.68,3097400
1999-07-05,21.24,21.28,19.5,19.7,35.32,1749700
1999-07-06,19.48,20.33,18.95,19.1,26.48,1358800
1999-07-07,19.23,20.2,19.23,20.15,31.7,1600600
1999-07-08,20.3,21,20.2,20.56,47.43,2293800
1999-07-09,20.5,20.5,20.02,20.16,23.46,1159400
1999-07-12,20.16,20.18,18.85,19.18,28.19,1457100
1999-07-13,19,19.16,18.5,18.68,15,794700
1999-07-14,18.98,19.38,18.68,19.23,13.75,724600
1999-07-15,19.18,19.7,19.15,19.2,13.48,695500
1999-07-16,19,19.15,18.7,18.79,11.9,632500
1999-07-19,18.5,18.65,18.12,18.2,12.8,698100
1999-07-20,18.25,20.02,18.25,20.02,40.33,2069400
1999-07-21,20.97,21.77,20.46,20.72,109.8,5199100
1999-07-22,20.6,20.6,19.55,19.55,30.72,1532400
1999-07-23,20,21.3,19.88,20.28,29.22,1423400
1999-07-26,20.58,20.7,19.91,20.06,13.74,682600
1999-07-27,20.05,20.44,19.68,20.05,10.33,516300
1999-07-28,20.05,20.35,19.9,19.96,9.95,495400
1999-07-29,20.2,20.4,19.8,20.35,18.75,931300
1999-07-30,20.48,20.68,20.05,20.38,17.01,835300
1999-08-02,20.38,20.5,19.98,20.17,14.42,712100
1999-08-03,20.3,20.65,19.98,20.46,15.81,777600
1999-08-04,20.4,21.19,20.14,20.83,28.72,1381700
1999-08-05,20.83,20.9,20.15,20.35,14.72,718900
1999-08-06,20.35,20.35,19.3,19.95,21.52,1080300
1999-08-09,19.61,19.85,19.31,19.46,15.03,771200
1999-08-10,19.31,19.85,19.21,19.42,10.2,523000
1999-08-11,19.6,19.94,19.3,19.37,9.11,465300
1999-08-12,19.4,19.5,18.78,18.88,15.73,825000
1999-08-13,18.85,19.4,18.78,19,11.86,625100
1999-08-16,19,19,18.35,18.6,13.45,726400
1999-08-17,18.7,19.15,18.68,18.85,9.52,502800
1999-08-18,18.8,18.9,18.5,18.8,7.47,399200
1999-08-19,19.2,20.35,18.99,19.92,24.37,1227700
1999-08-20,20,20.25,19.4,19.41,20.37,1027900
1999-08-23,19.48,20.05,19.36,19.5,7.78,397300
1999-08-24,19.8,20.2,19.61,19.66,13.18,662000
1999-08-25,19.71,20,19.31,19.5,9.49,487100
1999-08-26,19.18,19.5,19.18,19.45,5.27,272200
1999-08-27,19.5,19.6,19.2,19.38,8.98,462800
1999-08-30,19.6,20.08,19.2,19.68,20.55,1036300
1999-08-31,19.95,19.95,19.33,19.52,11.51,589900
1999-09-01,19.6,19.6,19.18,19.18,6.35,328000
1999-09-02,19.19,19.3,18.78,19.27,16.71,878900
1999-09-03,19.27,19.47,19,19.09,8.07,419700
1999-09-06,19.15,19.16,18.88,18.95,3.95,208100
1999-09-07,19,19.1,18.85,18.92,5.18,273800
1999-09-08,18.9,19.34,18.9,19.14,4.44,232300
1999-09-09,19.5,21.05,19.4,21.05,60.53,2920900
1999-09-10,21.95,23.05,21.48,21.85,182,8147500
1999-09-13,21.8,22.38,21.65,21.83,43.54,1980500
1999-09-14,22,22.65,21.85,22.1,45.44,2038700
1999-09-15,22.3,22.78,21.8,22,39.71,1773900
1999-09-16,22,22.1,21.15,21.35,28.88,1343600
1999-09-17,21.16,22.1,21.09,21.54,18.24,849300
1999-09-20,21.46,21.48,21.15,21.4,11.64,546100
1999-09-21,21.25,21.92,21.2,21.75,10.61,491100
1999-09-22,21.9,22.1,21.45,21.6,10.62,488700
1999-09-23,21.6,22,21.41,21.6,14.04,646500
1999-09-24,21.96,22.02,21.45,21.54,6.99,322300
1999-09-27,21.55,21.9,20.9,21,14.18,668600
1999-09-28,21,21.2,20.7,20.72,9.25,443500
1999-09-29,20.8,21.18,20.58,20.6,11.33,545200
1999-09-30,20.99,20.99,20.44,20.5,9.34,452400
1999-10-08,20.88,21,20.61,20.8,14.71,705700
1999-10-11,20.62,22.24,20.6,21.63,51.81,2380400
