代码,名称,剩余年限,最新净价,成交量(万),最新YTM,涨跌幅,主体评级,时间
128013.SZ,洪涛转债,5.4356,106.9062,354.25,1.0563,0.0011,AA,17/02/20
128012.SZ,辉丰转债,5.1644,104.7008,330.2,0.4997,0.0002,AA,17/02/20
128011.SZ,汽模转债,5.0274,119.6913,29.8,-1.5675,0.0015,AA-,17/02/20
128010.SZ,顺昌转债,4.9205,120.7805,843.31,-1.3974,0.0063,AA,17/02/20
128009.SZ,歌尔转债,3.8082,125.1955,2558.56,-2.9275,0.0031,AA+,17/02/20
127003.SZ,海印转债,5.2959,110.2466,104.57,0.8402,0.0018,AA-,17/02/20
123001.SZ,蓝标转债,4.8247,107.5723,480.79,1.0215,0.001,AA,17/02/20
113010.SH,江南转债,5.0712,113.3905,400,-0.1011,0.0033,AA,17/02/20
113009.SH,广汽转债,4.9205,118.8289,28761.6,-1.4984,0.0159,AAA,17/02/20
113008.SH,电气转债,3.9507,0,0,0,0,AAA,17/02/20
110035.SH,白云转债,4.0164,125.8927,1007,-3.6463,0.0128,AAA,17/02/20
110034.SH,九州转债,4.9014,123.7595,1513.3,-2.1554,0.0009,AA+,17/02/20
110033.SH,国贸转债,4.874,115.3756,1455,-0.5405,0.0094,AA+,17/02/20
110032.SH,三一转债,4.8712,113.7342,4422.1,-0.5943,0.0073,AA,17/02/20
110031.SH,航信转债,4.3068,106.7421,935.6,0.9607,0.0008,AA+,17/02/20
110030.SH,格力转债,2.8438,112.3411,439.1,-1.2792,-0.0009,AA,17/02/20

