日期,开盘价,最高价,最低价,收盘价,成交额,成交量
2006-05-08,1.5,1.5,1.5,1.5,100000,100000
2006-05-09,1.5,1.5,1.5,1.5,0,0
2006-05-10,1.5,1.5,1.5,1.5,0,0
2006-05-11,1.5,1.5,1.5,1.5,0,0
2006-05-12,1.5,1.5,1.5,1.5,0,0
2006-05-15,1.5,1.5,1.5,1.5,0,0
2006-05-16,1.65,1.65,1.65,1.65,10000000,10000000
2006-05-17,1.65,1.65,1.65,1.65,0,0
2006-05-18,1.65,1.65,1.65,1.65,0,0
2006-05-19,1.65,1.65,1.65,1.65,0,0
2006-05-22,1.62,1.62,1.62,1.62,500000,500000
2006-05-23,1.62,1.62,1.62,1.62,0,0
2006-05-24,1.62,1.62,1.62,1.62,0,0
2006-05-25,1.62,1.62,1.62,1.62,0,0
2006-05-26,1.62,1.62,1.62,1.62,0,0
2006-05-29,1.62,1.62,1.62,1.62,0,0
2006-05-30,1.62,1.62,1.62,1.62,0,0
2006-05-31,1.62,1.62,1.62,1.62,0,0
2006-06-01,3.06,3.06,3.06,3.06,50000000,50000000
2006-06-02,3.06,3.06,3.06,3.06,0,0
2006-06-05,3.06,3.06,3.06,3.06,0,0
2006-06-06,3.06,3.06,3.06,3.06,0,0
2006-06-07,3.06,3.06,3.06,3.06,0,0
2006-06-08,3.06,3.06,3.06,3.06,0,0
2006-06-09,3.06,3.06,3.06,3.06,0,0
2006-06-12,1.615,1.615,1.615,1.615,400000,400000
2006-06-13,1.615,1.615,1.615,1.615,0,0
2006-06-14,1.615,1.615,1.615,1.615,0,0
2006-06-15,3.78,3.78,3.78,3.78,100000,100000
2006-06-16,3.78,3.78,3.78,3.78,0,0
2006-06-19,1.98,1.98,1.98,1.98,5000000,5000000
2006-06-20,1.26,1.26,1.26,1.26,400000,400000
2006-06-21,1.26,1.26,1.26,1.26,0,0
2006-06-22,2.7,3.06,2.2,2.7,55200000,55200000
2006-06-23,3.57,3.75,3.4,3.4,215900000,215900000
2006-06-26,3.25,3.25,2.335,2.335,249400000,249400000
2006-06-27,3.08,3.08,2.335,2.335,300200000,300200000
2006-06-28,1.98,2.34,1.98,2.34,218100000,218100000
2006-06-29,1.975,1.975,1.975,1.975,139300000,139300000
2006-06-30,1.45,1.615,1.26,1.61,333300000,333300000
2006-07-03,1.98,1.98,1.4,1.62,25300000,25300000
2006-07-04,1.98,1.98,1.255,1.255,65200000,65200000
2006-07-05,1.26,1.615,1.255,1.26,347000000,347000000
2006-07-06,1.62,2.34,1.26,1.27,528100000,528100000
2006-07-07,2.335,3.42,2.335,3.24,378200000,378200000
2006-07-10,2.5,2.5,1.35,1.61,522100000,522100000
2006-07-11,1.98,1.98,1.975,1.975,412200000,412200000
2006-07-12,1.26,1.62,1.255,1.62,614800000,614800000
2006-07-13,1.62,2.34,1.26,1.9,720200000,720200000
2006-07-14,1.26,2.695,1.26,2.335,682100000,682100000
2006-07-17,1.62,2.35,1.62,1.975,1171200000,1171200000
2006-07-18,2.34,6.66,2.34,5.1,686900000,686900000
2006-07-19,5,6.66,4,4,313200000,313200000
2006-07-20,3.055,5,1.615,1.615,1529100000,1529100000
2006-07-21,4.495,5.2,3.8,5.2,570000000,570000000
2006-07-24,2.34,2.34,1.62,1.675,973200000,973200000
2006-07-25,1.98,3.055,1.62,1.69,2083200000,2083200000
2006-07-26,3.055,3.07,1.97,1.985,1333300000,1333300000
2006-07-27,2.695,4.5,1.975,1.975,1687800000,1687800000
2006-07-28,2.335,2.335,1.26,1.26,1309400000,1309400000
2006-07-31,2.335,2.34,1.975,1.98,1741200000,1741200000
2006-08-01,2.335,2.34,1.255,1.26,1048700000,1048700000
2006-08-02,2.335,2.335,1.615,1.615,1051400000,1051400000
2006-08-03,1.975,2.5,1.975,2.335,571000000,571000000
2006-08-04,2.335,2.34,1.975,1.975,1041300000,1041300000
2006-08-07,2.335,2.335,1.615,1.615,1166600000,1166600000
2006-08-08,2.335,2.34,1.615,1.62,1189900000,1189900000
2006-08-09,1.975,2.34,1.65,1.65,1098300000,1098300000
2006-08-10,2.34,5,2.335,5,1056300000,1056300000
2006-08-11,1.975,1.98,1.6,1.6,1051700000,1051700000
2006-08-14,2.335,2.335,1.62,1.78,1214400000,1214400000
2006-08-15,1.975,1.975,1.615,1.9,1768300000,1768300000
2006-08-16,2.33,2.33,1.615,1.615,1110800000,1110800000
2006-08-17,4,4.005,1.62,2.89,1378800000,1378800000
2006-08-18,2.335,2.335,1.61,1.62,864000000,864000000
2006-08-21,2.335,2.335,1.26,1.26,1163800000,1163800000
2006-08-22,1.615,1.62,1.3,1.6,654600000,654600000
2006-08-23,1.615,1.62,1.3,1.6,878200000,878200000
2006-08-24,2.335,3.34,1.615,1.97,977600000,977600000
2006-08-25,1.615,1.62,1.26,1.365,643900000,643900000
2006-08-28,1.615,1.62,1.26,1.26,1381500000,1381500000
2006-08-29,1.615,1.975,1.615,1.625,1822300000,1822300000
2006-08-30,1.62,1.98,1.26,1.62,1631800000,1631800000
2006-08-31,5,6,5,5.905,1055600000,1055600000
2006-09-01,1.975,2.7,1.97,2.4,1070300000,1070300000
2006-09-04,2.7,2.7,1.975,2.335,781100000,781100000
2006-09-05,1.98,1.985,1.26,1.26,757300000,757300000
2006-09-06,1.615,1.98,1.15,1.26,1034100000,1034100000
2006-09-07,1.62,2.34,1.255,2.34,1376900000,1376900000
2006-09-08,2.34,2.96,1.975,1.975,370700000,370700000
2006-09-11,1.975,1.98,1.62,1.98,730000000,730000000
2006-09-12,1.615,1.98,1.15,1.2,443300000,443300000
